ID;ADDRESS
18593;Москва, дер. Щербинка, д.8
18594;Москва, дер. Щербинка, д.9
18595;Москва, Николая Сироткина ул, д.2, корп.1
18596;Москва, Николая Сироткина ул, д.2, корп.2
18597;Москва, Николая Сироткина ул, д.2, корп.3
18598;Москва, Николая Сироткина ул, д.2, корп.4
18599;Москва, Изюмская ул, д.49, корп.2
18600;Москва, Изюмская ул, д.51
18601;Москва, 1-й Миргородский пер, д.1
18602;Москва, 1-й Миргородский пер, д.11
18603;Москва, 1-й Миргородский пер, д.13
18604;Москва, 1-й Миргородский пер, д.15
18605;Москва, 1-й Миргородский пер, д.1А
18606;Москва, 1-й Миргородский пер, д.2
18607;Москва, 1-й Миргородский пер, д.3
18608;Москва, 1-й Миргородский пер, д.5
18609;Москва, 1-й Миргородский пер, д.7
18610;Москва, 1-й Миргородский пер, д.9
18611;Москва, 2-й Миргородский пер, д.1А
18612;Москва, 2-й Миргородский пер, д.3
18613;Москва, 2-й Миргородский пер, д.4
18614;Москва, 2-й Миргородский пер, д.5
18615;Москва, 2-й Миргородский пер, д.7
18616;Москва, 2-й Миргородский пер, д.9
18617;Москва, Изюмская ул, д.49, корп.1
18618;Москва, Изюмская ул, д.49, корп.3
18619;Москва, Изюмская ул, д.49, корп.4
18620;Москва, Изюмская ул, д.53
18621;Москва, Изюмская ул, д.53, корп.1
18622;Москва, Изюмская ул, д.53, корп.2
18623;Москва, Изюмская ул, д.57
18624;Москва, Изюмская ул, д.57, корп.1
18625;Москва, Изюмская ул, д.57, корп.2
18626;Москва, Изюмская ул, д.59
18627;Москва, Изюмская ул, д.61
18628;Москва, Изюмская ул, д.61, корп.1
18629;Москва, Краснолиманская ул, д.13
18630;Москва, Краснолиманская ул, д.15
18631;Москва, Краснолиманская ул, д.17
18632;Москва, Краснолиманская ул, д.19
18633;Москва, Краснолиманская ул, д.21
18634;Москва, Краснолиманская ул, д.23
18635;Москва, Краснолиманская ул, д.23А
18636;Москва, Краснолиманская ул, д.23Б
18637;Москва, Краснолиманская ул, д.25
18638;Москва, Краснолиманская ул, д.25А
18639;Москва, Краснолиманская ул, д.25Б
18640;Москва, Краснолиманская ул, д.25В
18641;Москва, Краснолиманская ул, д.27
18642;Москва, Краснолиманская ул, д.28
18643;Москва, Краснолиманская ул, д.29
18644;Москва, Краснолиманская ул, д.34
18645;Москва, Краснолиманская ул, д.36
18646;Москва, Краснолиманская ул, д.7
18647;Москва, Краснолиманская ул, д.9
18648;Москва, Миргородская ул, д.1
18649;Москва, Миргородская ул, д.12
18650;Москва, Миргородская ул, д.13
18651;Москва, Миргородская ул, д.2
18652;Москва, Миргородская ул, д.2А
18653;Москва, Миргородская ул, д.3
18654;Москва, Миргородская ул, д.4
18655;Москва, Миргородская ул, д.5
18656;Москва, Миргородская ул, д.6
18657;Москва, Миргородская ул, д.7
18658;Москва, Миргородская ул, д.7А
18659;Москва, Миргородская ул, д.8
18660;Москва, Миргородская ул, д.8А
18661;Москва, Миргородский проезд, д.11
18662;Москва, Миргородский проезд, д.11А
18663;Москва, Миргородский проезд, д.13
18664;Москва, Миргородский проезд, д.15
18665;Москва, Миргородский проезд, д.17
18666;Москва, Миргородский проезд, д.2
18667;Москва, Миргородский проезд, д.3
18668;Москва, Миргородский проезд, д.4
18669;Москва, Миргородский проезд, д.4А
18670;Москва, Миргородский проезд, д.5
18671;Москва, Миргородский проезд, д.6
18672;Москва, Миргородский проезд, д.6А
18673;Москва, Миргородский проезд, д.7
18674;Москва, Мценская ул, д.10
18675;Москва, Мценская ул, д.11
18676;Москва, Мценская ул, д.12
18677;Москва, Мценская ул, д.13
18678;Москва, Мценская ул, д.15
18679;Москва, Мценская ул, д.22
18680;Москва, Мценская ул, д.22А
18681;Москва, Мценская ул, д.24
18682;Москва, Мценская ул, д.26
18683;Москва, Мценская ул, д.3
18684;Москва, Мценская ул, д.5
18685;Москва, Мценская ул, д.7
18686;Москва, Мценская ул, д.9
